SMILES,Yield,Temp,Time
C#CC1=CC=CC=C1.FC(F)(F)C1=CC=C(CN=N#N)C=C1.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>FC(F)(F)C1=CC=C(CN2C=C(N=N2)C2=CC=CC=C2)C=C1,99.0,80.0,16
C#CC1=CC=CC=C1.N#N=NCC1=CC=C2C=CC=CC2=C1.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>C(N1C=C(N=N1)C1=CC=CC=C1)C1=CC2=C(C=CC=C2)C=C1,94.0,80.0,16
CC1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>CC1=CC=C(CN2C=CN=N2)C=C1,99.0,90.0,16
COC1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>COC1=CC=C(CN2C=CN=N2)C=C1,95.0,90.0,16
FC(F)(F)C1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>FC(F)(F)C1=CC=C(CN2C=CN=N2)C=C1,94.0,90.0,16
FC1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>FC1=CC=C(CN2C=CN=N2)C=C1,99.0,90.0,16
N#CC1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>N#CC1=CC=C(CN2C=CN=N2)C=C1,99.0,90.0,16
N#N=NCC1=CC=C2C=CC=CC2=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>C(N1C=CN=N1)C1=CC=C2C=CC=CC2=C1,99.0,90.0,16
N#N=NCC1=CC=CC=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>C(N1C=CN=N1)C1=CC=CC=C1,92.0,90.0,16
O=N(=O)C1=CC=C(CN=N#N)C=C1.C#C.[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O>>O=N(=O)C1=CC=C(CN2C=CN=N2)C=C1,99.0,90.0,16
