SMILES,Yield,Temp,Time
CC1(C)NC(=O)N(C(=O)C2=CC=C(C=C2)C#N)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>O=C(C1=CC=CC=C1)C1=CC=C(C=C1)C#N,82.0,110.0,15
CC1(C)NC(=O)N(C(=O)C2=CC=C(C=C2)C(F)(F)F)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>FC(F)(F)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1,61.0,110.0,15
CC1(C)NC(=O)N(C(=O)C2=CC=C(F)C=C2)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>FC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,81.0,110.0,15
CC1(C)NC(=O)N(C(=O)C2=CC=CC=C2)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>O=C(C1=CC=CC=C1)C1=CC=CC=C1,90.0,110.0,15
CC1=CC=C(C=C1)C(=O)N1C(=O)NC(C)(C)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,85.0,110.0,15
COC(=O)C1=CC=C(C=C1)C(=O)N1C(=O)NC(C)(C)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>COC(=O)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1,90.0,110.0,15
COC1=CC=C(C=C1)B(O)O.CC1(C)NC(=O)N(C(=O)C2=CC=CC=C2)C1=O.[K+].[K+].[O-]C([O-])=O>>COC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,78.0,110.0,15
COC1=CC=C(C=C1)C(=O)N1C(=O)NC(C)(C)C1=O.OB(O)C1=CC=CC=C1.[K+].[K+].[O-]C([O-])=O>>COC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,87.0,110.0,15
OB(O)C1=CC=C(C=C1)C1=CC=CC=C1.CC1(C)NC(=O)N(C(=O)C2=CC=CC=C2)C1=O.[K+].[K+].[O-]C([O-])=O>>O=C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,76.0,110.0,15
OB(O)C1=CC=C(F)C=C1.CC1(C)NC(=O)N(C(=O)C2=CC=CC=C2)C1=O.[K+].[K+].[O-]C([O-])=O>>FC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,86.0,110.0,15
