Unnamed: 0,Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product.1,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys,Yield combined,Reagents as SMILES,Reagents Not Converted,Reactants.Reagents>>Products,Reactants,Products,Reactants + Reagents
35393065;,35393065.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=51313417&database=RX&origin=ReaxysOutput&ln=,(1776 of 5000),1,72,full reaction; has preparation,"benzhydryl 2beta-(azidomethyl)-2alpha-methylpenam-3alpha-carboxylate 1,1-dioxide; acetylene","(2S,3S,5R) 3-methyl-7-oxo-3-(1H-1,2,3-triazol-1-yl-methyl)-4-thia-1-azabicyclo[3.2.0]heptane2-carboxylic acid 4,4-dioxide, diphenyl methyl ester",180122,[H][C@@]12CC(=O)N1[C@@H](C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1)[C@](C)(CN=N#N)S2(=O)=O.C#C>>[H][C@@]12CC(=O)N1[C@@H](C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1)[C@](C)(CN1C=CN=N1)S2(=O)=O,Preparation,None,None,None,1,None,None,None,None,24,90,None,None,Schlenk technique,Huisgen Cycloaddition,None,None,None,Experimental part,None,None,"(2S,3S,5R) 3-methyl-7-oxo-3-(1H-1,2,3-triazol-1-yl-methyl)-4-thia-1-azabicyclo[3.2.0]heptane2-carboxylic acid 4,4-dioxide, diphenyl methyl ester",91 percent,91,None,None,PVPy-Cu+-SO42- (convoluted polymeric pyridine copper(I) catalyst),None,None,"Article; Hu, Hao; Ohno, Aya; Sato, Takuma; Mase, Toshiaki; Uozumi, Yasuhiro; Yamada, Yoichi M. A.; Organic Process Research and Development; vol. 23; 4; (2019); p. 493 - 498;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76461345&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,91 percent91None,,PVPy-Cu+-SO42- (convoluted polymeric pyridine copper(I) catalyst),[H][C@@]12CC(=O)N1[C@@H](C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1)[C@](C)(CN=N#N)S2(=O)=O.C#C>>[H][C@@]12CC(=O)N1[C@@H](C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1)[C@](C)(CN1C=CN=N1)S2(=O)=O,,,
37769152;,37769152.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=32050923&database=RX&origin=ReaxysOutput&ln=,(1221 of 5000),2,76,full reaction; has preparation,"2-{4-[2-(6-bromopyridin-2-yl)hydrazineylidene]cyclohexyl}isoindoline-1,3-dione","2-(2-bromo-6,7,8,9-tetrahydro-5H-pyrido[2,3-b]indol-6-yl)isoindoline-1,3-dione",115287,BrC1=CC=CC(N\N=C2/CCC(CC2)N2C(=O)C3=CC=CC=C3C2=O)=N1>>BrC1=CC=C2C(NC3=C2CC(CC3)N2C(=O)C3=CC=CC=C3C2=O)=N1,Preparation,None,None,None,1,None,None,None,None,0.583333,250,None,None,Microwave irradiation,Fischer Indole Synthesis,None,None,None,Experimental part,supporting information,None,"2-(2-bromo-6,7,8,9-tetrahydro-5H-pyrido[2,3-b]indol-6-yl)isoindoline-1,3-dione",49 percent,49,None,None,None,None,diethylene glycol,"Article; Sreenivasachary, Nampally; Kroth, Heiko; Benderitter, Pascal; Barth, Wolfgang; Pfeifer, Andrea; Muhs, Andreas; Organic Process Research and Development; vol. 23; 11; (2019); p. 2521 - 2526;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=77874531&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,49 percent49None,,None,BrC1=CC=CC(N\N=C2/CCC(CC2)N2C(=O)C3=CC=CC=C3C2=O)=N1>>BrC1=CC=C2C(NC3=C2CC(CC3)N2C(=O)C3=CC=CC=C3C2=O)=N1,,,
32408142;,32408142.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=40065939&database=RX&origin=ReaxysOutput&ln=,(926 of 5000),1,76,full reaction; has preparation,allyl bromide,"cis-1,4-dibromo-2-butene; (E)-1,4-dibromobutene; ethene",300945; 300945,BrCC=C.BrCC=C.BrCC=C>>BrC\C=C/CBr.BrC\C=C\CBr.C=C,Preparation,None,None,None,1,None,None,None,None,1,25,None,None,Flow reactor,Grubbs Olefin Metathesis,None,None,None,Scheme or table,None,Overall yield = > 95 %,"(E)-1,4-dibromobutene",> 95 percent,95,None,None,Hoveyda-Grubbs catalyst second generation,None,acetone,"Article; Bjorsvik, Hans-Ren; Liguori, Lucia; Organic Process Research and Development; vol. 18; 11; (2014); p. 1509 - 1515;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=65034647&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,> 95 percent95None,,Hoveyda-Grubbs catalyst second generation,BrCC=C.BrCC=C.BrCC=C>>BrC\C=C/CBr.BrC\C=C\CBr.C=C,,,
35353567;,35353567.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=36873832&database=RX&origin=ReaxysOutput&ln=,(715 of 5000),9,84,full reaction; has preparation,2-Phenyl-2-(2-propenyl)-4-pentenenitrile,1-phenylcyclopent-3-enecarbonitrile,317796,C=CCC(CC=C)(C#N)C1=CC=CC=C1>>N#CC1(CC=CC1)C1=CC=CC=C1,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,1-phenylcyclopent-3-enecarbonitrile,98 percent,98,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,98 percent98None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCC(CC=C)(C#N)C1=CC=CC=C1>>N#CC1(CC=CC1)C1=CC=CC=C1,,,
35353566;,35353566.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=5216637&database=RX&origin=ReaxysOutput&ln=,(231 of 5000),6,96,full reaction; has preparation,"2,2-diallyl-1H-indene-1,3(2H)-dione","spiro[cyclopentane-1,2'-inden]-3-ene-1',3'-dione",317768,C=CCC1(CC=C)C(=O)C2=C(C=CC=C2)C1=O>>O=C1C2=C(C=CC=C2)C(=O)C11CC=CC1,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,"spiro[cyclopentane-1,2'-inden]-3-ene-1',3'-dione",98 percent,98,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,98 percent98None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCC1(CC=C)C(=O)C2=C(C=CC=C2)C1=O>>O=C1C2=C(C=CC=C2)C(=O)C11CC=CC1,,,
35353569;,35353569.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=5200543&database=RX&origin=ReaxysOutput&ln=,(54 of 5000),6,101,full reaction; has preparation,"10,10-bisallylanthrone","10H-spiro[anthracene-9,1'-cyclopent[3]en]-10-one",317698,C=CCC1(CC=C)C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2>>O=C1C2=C(C=CC=C2)C2(CC=CC2)C2=C1C=CC=C2,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,"10H-spiro[anthracene-9,1'-cyclopent[3]en]-10-one",83 percent,83,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,83 percent83None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCC1(CC=C)C2=C(C=CC=C2)C(=O)C2=C1C=CC=C2>>O=C1C2=C(C=CC=C2)C2(CC=CC2)C2=C1C=CC=C2,,,
35353571;,35353571.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=10544275&database=RX&origin=ReaxysOutput&ln=,(463 of 5000),6,91,full reaction; has preparation,"2,3-dihydro-2,2-di-2-propen-1-yl-1H-inden-1-one","spiro[3-cyclopentene-1,2'-[2H]inden]-1'(3'H)-one",317786,C=CCC1(CC=C)CC2=CC=CC=C2C1=O>>O=C1C2=CC=CC=C2CC11CC=CC1,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,"spiro[3-cyclopentene-1,2'-[2H]inden]-1'(3'H)-one",97 percent,97,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,97 percent97None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCC1(CC=C)CC2=CC=CC=C2C1=O>>O=C1C2=CC=CC=C2CC11CC=CC1,,,
9210623;,9210623.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=47424141&database=RX&origin=ReaxysOutput&ln=,(785 of 5000),3,82,full reaction; has preparation,C21H23NO2S,"2-(benzhydrylsulfinyl)-1-(2,5-dihydro-1H-pyrrol-1-yl)ethanone",317627,C=CCN(CC=C)C(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1>>O=C(CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1)N1CC=CC1,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,"2-(benzhydrylsulfinyl)-1-(2,5-dihydro-1H-pyrrol-1-yl)ethanone",98 percent,98,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,98 percent98None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCN(CC=C)C(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1>>O=C(CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1)N1CC=CC1,,,
28396150;,28396150.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=47424137&database=RX&origin=ReaxysOutput&ln=,(850 of 5000),2,80,full reaction; has preparation,C21H23NOS,"2-(benzhydrylthio)-1-(2,5-dihydro-1H-pyrrol-1-yl)ethanone",317645,C=CCN(CC=C)C(=O)CSC(C1=CC=CC=C1)C1=CC=CC=C1>>O=C(CSC(C1=CC=CC=C1)C1=CC=CC=C1)N1CC=CC1,Preparation,None,None,None,1,None,None,None,None,2,40,None,None,None,Alkene (Olefin) Metathesis,None,None,None,Experimental part,supporting information,None,"2-(benzhydrylthio)-1-(2,5-dihydro-1H-pyrrol-1-yl)ethanone",81 percent,81,None,None,C45H67Cl2N4ORu(1+)*Cl(1-),None,dichloromethane,"Article; Szczepaniak, Grzegorz; Noga?, Wojciech; Piatkowski, Jakub; Ruszczy?ska, Anna; Bulska, Ewa; Grela, Karol; Organic Process Research and Development; vol. 23; 5; (2019); p. 836 - 844;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76384430&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,81 percent81None,,C45H67Cl2N4ORu(1+)*Cl(1-),C=CCN(CC=C)C(=O)CSC(C1=CC=CC=C1)C1=CC=CC=C1>>O=C(CSC(C1=CC=CC=C1)C1=CC=CC=C1)N1CC=CC1,,,
38228839;,38228839.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=30500439&database=RX&origin=ReaxysOutput&ln=,(955 of 3523),1,69,full reaction; has preparation,formaldehyd; formic acid; hexan-1-amine; Glyoxal,CHO2(1-)*C15H29N2(1+),151086,C=O.[H]C(O)=O.CCCCCCN.O=CC=O.CCCCCCN>>[O-]C=O.CCCCCCN1C=C[N+](CCCCCC)=C1,Preparation,None,None,None,1,None,None,3.0,None,0.5; 0.5; 6,10; 10; 20,None,None,None,Modified Radziszewski reaction,None,None,None,None,supporting information; experimental part,None,CHO2(1-)*C15H29N2(1+),79 percent,79,None,formaldehyd; hexan-1-amine; formic acid; hexan-1-amine; Glyoxal,None,None,methanol; water; methanol; water; methanol; water,"Article; Zimmermann, Johannes; Ondruschka, Bernd; Stark, Annegret; Organic Process Research and Development; vol. 14; 5; (2010); p. 1102 - 1109;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=9013843&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=,79 percent79None,,None,C=O.[H]C(O)=O.CCCCCCN.O=CC=O.CCCCCCN>>[O-]C=O.CCCCCCN1C=C[N+](CCCCCC)=C1,,,
