,Reagent Name,SMILES
0,pyridinium hydrobromide perbromide,C1=CC=[NH+]C=C1.Br[Br-]Br
1,sodium tert-amylate,CCC(C)(C)[O-].[Na+]
2,"N,N,N,N,-tetramethylethylenediamine",CN(C)CCN(C)C
3,tert-butyl XPhos,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C
4,catacxium A,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5
5,(1R)-(-)-(10-camphorsulfonyl)oxaziridine,CC1(C2CCC13CS(=O)(=O)N4C3(C2)O4)C
6,"1,1'-bis-(diphenylphosphino)ferrocene",[CH-]1C=CC(=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[CH-]1C=CC(=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.[Fe+2]
7,TaniaPhos,CN(C)C(C1CCCC1P(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6.C1CCCC1.[Fe]
8,Selectfluor,[B-](F)(F)(F)F.[B-](F)(F)(F)F.C1C[N+]2(CC[N+]1(CC2)CCl)F
9,"(R)-(-)-4,12-bis(diphenylphosphino)[2.2]paracyclophane(1,5-cyclooctadiene)rhodium(I) tetrafluoroborate",[B-](F)(F)(F)F.C1CC=CCCC=C1.C1CC2=C(C=C(CCC3=C(C=C1C=C3)P(C4=CC=CC=C4)C5=CC=CC=C5)C=C2)P(C6=CC=CC=C6)C7=CC=CC=C7.[Rh]
10,(1S)-(+)-(10-camphorsulfonyl)oxaziridine,CC1(C2CCC13CS(=O)(=O)N4C3(C2)O4)C
11,Dess-Martin periodane,CC(=O)OI1(C2=CC=CC=C2C(=O)O1)(OC(=O)C)OC(=O)C
12,copper(ll) bromide,[Cu].Br.Br
13,1-dodecylthiol,CCCCCCCCCCCCS
14,XPhos,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C
15,"(1,1'-bis(diphenylphosphino)ferrocene)palladium(II) dichloride",[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.[CH-]1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2]
16,sec.-butyllithium,[Li+].CC[CH-]C
17,potassium osmate,[O-][Os](=O)(=O)[O-].[K+].[K+]
18,sodium hypobromide,[O-]Br.[Na+]
19,tetrabutylammomium bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-]
20,TPGS-750-M,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)CCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C
21,"(1,5-cyclooctadiene)(methoxy)iridium(I) dimer",C[OH2+].C[OH2+].C1CC=CCCC=C1.C1CC=CCCC=C1.[Ir].[Ir]
22,boron trifluoride-tetrahydrofuran complex,[B-]([O+]1CCCC1)(F)(F)F
23,diethylazodicarboxylate,CCOC(=O)N=NC(=O)OCC
24,rhodium (II) octanoate dimer,CCCCCCCC(=O)O.CCCCCCCC(=O)O.CCCCCCCC(=O)O.CCCCCCCC(=O)O.[Rh].[Rh]
25,"bis(1,5-cyclooctadiene)nickel (0)",C1CC=CCCC=C1.C1CC=CCCC=C1.[Ni]
26,bovine serum albumin,C(C(F)(F)F)(C(F)(F)F)(F)F
27,tetra-N-butylammonium tribromide,CCCC[N+](CCCC)(CCCC)CCCC.Br[Br-]Br
28,Et3SiD,CC[SiH](CC)CC
